First name,Last name,Preferred title,Overview,Position,Department,Individual
William,Rogers,Lecturer,,Lecturer - Term Appoint,Chemical Engineering,https://scholars.library.tamu.edu/vivo/display/n2632ef81
William,Rogers,Professor,,Professor,Ecology and Conservation Biology,https://scholars.library.tamu.edu/vivo/display/n35d640a4
Artem,Rogovskyy,Assistant Professor,"As a veterinary microbiologist, I provide diagnostic service and consultation to clinicians and support collaborative research performed at the Veterinary Medical Teaching Hospital at Texas A&M University. As a researcher, my interests are two-fold. I study host-pathogens interaction of vector-borne spirochetes that cause Lyme disease and Relapsing Fever. My laboratory members and I examine immunoevasion mechanisms of Borrelia burgdorferi, a causative agent of Lyme disease and work towards identifying novel vaccine candidates. The long-term goal is to develop an efficacious second-generation vaccine against Lyme disease. The other area of my interest is antimicrobial resistance. Specifically, we analyze extended-spectrum beta-lactamase (ESBL) producing Enterobacteriaceae that are isolated from clinical specimens derived from companion animals. The increasing ESBL prevalence in E. coli and Klebsiella spp. represents a huge challenge for veterinary practitioners as therapeutic options for these ESBL-producing bacteria are very limited. The ultimate goal is contribute to overall understanding of antimicrobial resistance in companion animals, which in turn will help to prevent animal health threats associated with antimicrobial resistance in the veterinary clinics.",Assistant Professor,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/n285dc10c
Taehyun,Roh,Assistant Professor,"Dr. Taehyun Roh has a broad background in environmental health, with specific training and expertise in toxicology and epidemiology. His current research focus is epidemiological studies of the chronic health effects of drinking water contaminants including arsenic. His earlier research topics include mechanistic toxicological studies across in vitro/in vivo experiments, and exposure and risk assessment of environmental contaminants. He is a Registered Pharmacist in Korea.",Assistant Professor,Epidemiology and Biostatistics,https://scholars.library.tamu.edu/vivo/display/nbd3b92fa
Alexander,Roiterchtein,Visiting Lecturer,,Visiting Lecturer,Statistics,https://scholars.library.tamu.edu/vivo/display/ndeb3397e
Joseph,Rojas,Professor,"My research focuses on Algorithmic Algebraic Geometry (including real and arithmetic methods), Polyhedral Combinatorics, Complexity Theory, and Scientific Computation.",Affiliated Professor||Professor,Mathematics||Computer Science and Engineering,https://scholars.library.tamu.edu/vivo/display/n9d2b20fd
Michael,Rold,Lecturer,,Lecturer,Communication,https://scholars.library.tamu.edu/vivo/display/nd4d69848
John,Rollins,Lecturer - Term Appoint,,Lecturer - Term Appoint,Bush School of Government and Public Service,https://scholars.library.tamu.edu/vivo/display/n65f2f735
Jay,Rooker,Professor,"My research centers on the community and population ecology of aquatic organisms, with a special emphasis on marine fishes. I am particularly interested in linkages between habitat selection, individual responses, and survival. My work is both laboratory and field-based, and I typically use both quantitative and experimental approaches to elucidate the importance of biotic and abiotic factors that influence growth, condition, and survival. In addition, we are currently using a variety of natural markers to solve ecological problems. Otolith chemistry is being used to retrospectively determine the environmental histories of marine fishes. The premise of otolith chemistry is that certain elements or isotopes are incorporated into otoliths in proportion to their concentrations in the environment, and thus we use these elemental fingerprints to distinguish individuals from different environments or regions. We also use dietary tracers (stable isotopes, fatty acids) to investigate marine food web structure since consumer tissues reflect the isotopic and fatty acid composition of prey in a predictable manor. These natural biomarkers provide time-integrated or long-term measures of diet, and both approaches afford information on source(s) of organic matter supporting local food webs as well as trophic relationships of associated consumers. Recent work also involves the use of sophisticated electronic tags to investigate movement and population connectivity of coastal and pelagic fishes.",Regents Professor,Marine Biology,https://scholars.library.tamu.edu/vivo/display/n7755a7f0
William,Rooney,Professor,"The long-range goal of my sorghum improvement program is to enhance the productivity and profitability of grain, forage and bioenergy sorghum production systems.  The sorghum breeding program is used as a mechanism to develop and release sorghum germplasm to meet this goal.  In addition to the release of improved sorghum genotypes, research in the program emphasizes the genetic and molecular genetic inheritance of disease resistance, grain quality and agronomic productivity and adaptability.  The research provides opportunities for graduate student training in fundamental and applied aspects of plant improvement.   Specific research interests include the development of sorghum germplasm for bioenergy (both sweet and biomass), grain and forage Instruct SCSC 642 annually each fall semester.",Professor,Soil and Crop Sciences,https://scholars.library.tamu.edu/vivo/display/nc74bd61f
Amanda,Ros,Clinical Professor,,Clinical Professor,University Libraries,https://scholars.library.tamu.edu/vivo/display/n7da32ca4
Robert,Rosa,Research Professor,,Research Professor,Medical Physiology,https://scholars.library.tamu.edu/vivo/display/n2ab0c984
Glenda,Rose,Adjunct Assistant Professor,,Adjunct Assistant Professor,Educational Administration and Human Resource Development,https://scholars.library.tamu.edu/vivo/display/n1c0b7ab1
Chelsey,Rosen,Lecturer - Term Appoint,,Lecturer - Term Appoint,College of Nursing,https://scholars.library.tamu.edu/vivo/display/n7e1cd0af
James,Rosenheim,Professor,James Rosenheim is a student of early modern British social and cultural history and author of two books on English landed society: The Townshends of Raynham and The Emergence of a Ruling Order . His current research focuses on the social and cultural status of the unmarried man in England in the seventeenth and eighteenth centuries. He served as director of the Melbern G. Glasscock Center for Humanities Research from 1998 to 2011.,Professor,History,https://scholars.library.tamu.edu/vivo/display/nc184d425
Nathanael,Rosenheim,Associate Research Scientist,,Associate Research Scientist,Landscape Architecture and Urban Planning,https://scholars.library.tamu.edu/vivo/display/n0f782eb9
Adam,Rosenthal,Instructional Assistant Professor,,Instructional Assistant Professor,International Studies,https://scholars.library.tamu.edu/vivo/display/nba3d2468
Andrew,Ross,Professor,"Dr. Ross' current work focuses on the US grand strategy debate; military innovation; and nuclear policy, strategy, and force structure.",Faculty Affiliate||Brent Scowcroft Chair in International Policy Studies||Professor,International Affairs||Albritton Center for Grand Strategy||Bush School of Government and Public Service,https://scholars.library.tamu.edu/vivo/display/ncc84b819
Gershon,Ross,Associate Professor of the Practice,,Associate Professor of the Practice,Bush School Dc Teaching Site,https://scholars.library.tamu.edu/vivo/display/nd6002c25
Joseph,Ross,Professor,oMagnetism and Superconductivity<br /><br />oSemiconductors and Photonic Materials<br /><br />oMaterials Research,Professor,Physics and Astronomy,https://scholars.library.tamu.edu/vivo/display/n24d4da22
Shawna,Ross,Assistant Professor,,Assistant Professor,English,https://scholars.library.tamu.edu/vivo/display/n2f0ec86d
Ashley,Ross-Wootton,Assistant Professor,,Assistant Professor,Marine Sciences,https://scholars.library.tamu.edu/vivo/display/n8d7bcf94
Celestina,Rossi,Assistant Lecturer,,Assistant Lecturer,Entomology,https://scholars.library.tamu.edu/vivo/display/n4e8686b2
Marco,Rossi,Assistant Professor,"I am an expert in corporate bond markets. My research deals with bond pricing, bond market microstructure, and with the corporate finance implications of financial institutions holding both debt and equity of the same firm.",Assistant Professor,Finance,https://scholars.library.tamu.edu/vivo/display/n50ad9778
Jeffrey,Rossman,Clinical Professor,,Clinical Professor,Periodontics,https://scholars.library.tamu.edu/vivo/display/nc55f737f
C. Parr,Rosson,Senior Professor and Department Head,"Rosson works in the areas of international trade and  international marketing. He currently chairs the Education Committee of the Texas-Cuba Trade Alliance. Rosson served on the Grains, Feed, Oilseeds and Planting Seeds Agricultural Trade Advisory Committee for the US Trade Representative and US Department of Agriculture from 2001-2015.<br /><br />He has conducted research projects and educational programs in Latin America, Europe, the Middle East and Asia. Prior to coming to Texas A&M in September 1989, Rosson<br /><br />spent seven years at Clemson University where he was Associate Professor and Extension Agricultural Economist and Acting Director of International Programs.",Senior Professor and Department Head,Agricultural Economics,https://scholars.library.tamu.edu/vivo/display/n49d90bca
Michael,Rosynek,Professor and Associate Department Head,"Heterogeneous catalytic processes form the basis for much of the chemical and petroleum processing industries. Solid catalysts enable reactions to occur at sufficiently high rates to be commercially feasible. In many cases, proper selection of a suitable catalyst also permits reaction pathways and product selectivities to occur that would not be kinetically possible in the absence of the catalyst. In our laboratory, we employ kinetic measurements of selected reactions, in combination with a variety of optical and surface spectroscopic and physical characterization techniques, to investigate the surface properties and detailed modes of operation of zeolites, metal oxides and supported metal catalysts.<br /><br /><br /><br />Among the more challenging problems in the field of heterogeneous catalysis is that of selectively oxidizing small alkanes to higher hydrocarbons and oxygenates in high yields. We are currently investigating, for example, the catalyzed oxidative coupling of methane to C2hydrocarbon products. We have established that this reaction occurs via a heterogeneous-homogeneous reaction mechanism, in which the first step is homolytic cleavage of a C-H bond in methane at an O-site on the oxide catalyst surface. The resulting methyl radicals then emanate into the gas phase where they either undergo coupling to the desired C2 products or enter into a series of chain branching homogeneous reactions that lead to the formation of undesired COx products. We are employing x-ray photoelectron, FT-IR and in situ Raman spectroscopies to characterize the nature of the active sites on the catalyst surfaces. Additional studies using isotopic labelling and laser-induced fluorescence spectroscopy are providing details about the mechanism of this complex reaction system. Other projects involve studies of the direct selective oxidation of methane to oxygenates, such as formaldehyde and methanol, and to aromatic products.",Professor and Associate Department Head,Chemistry,https://scholars.library.tamu.edu/vivo/display/n9ed54600
Augusta,Roth,Professor of the Practice and Head,,Professor of the Practice and Head,Chief Academic Officer,https://scholars.library.tamu.edu/vivo/display/n39bde027
Andrea,Rothman Stoler,Clinical Assistant Professor,,Clinical Assistant Professor,Restorative Sciences,https://scholars.library.tamu.edu/vivo/display/n7524649d
Brian,Rouleau,Associate Professor,"Dr. Rouleau's research and teaching interests include nineteenth-century United States history, the Atlantic world, American foreign relations, and more recent efforts to internationalize our study of the past. His first book, With Sails Whitening Every Sea: Mariners and the Making of an American Maritime Empire, examines encounters between sailors from the United States and peoples overseas during the nineteenth century. Rouleau's current research, for a book tentatively titled Empire's Children: Youth Culture and the Long Nineteenth Century's Expansionist Impulse, explores connections between young people and imperialistic policy in several settler colonial societies.",Associate Professor,History,https://scholars.library.tamu.edu/vivo/display/ncde20da4
Elizabeth,Roumell,Associate Professor,"Research areas: adult learning and identity development, supervising and mentoring graduate research, adult and workforce education policy analysis, evaluation and program implementation,",Associate Professor,Educational Administration and Human Resource Development,https://scholars.library.tamu.edu/vivo/display/n981b1d0a
Francis,Rouquette,Professor,"Primary aspects of this plant-animal interface research program includes simultaneous quantifying of forage persistence and sustainability with animal responses to stocking strategies and grazing intensities. Component research areas include forage germplasm evaluations for team-released varieties; assessment of soil nutrient status under long-term nutrient cycling with fertilizer-stocking regimens; cow-calf and stocker performance on bermudagrass, small grains, ryegrass, and clover; and lifetime animal performance attributes from birth-to-pasture-to-feedlot-carcass with database archival on BeefSys.",Professor||Professor,Soil and Crop Sciences||Overton Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/n82f8d1bd
Allen,Roussel,Professor,,Professor,College of Veterinary Medicine and Biomedical Sciences,https://scholars.library.tamu.edu/vivo/display/n2b3db30b
Gilbert,Rowe,Senior Professor,,Senior Professor,Marine Biology,https://scholars.library.tamu.edu/vivo/display/n88019914
Gina,Rowe,Clinical Associate Professor,,Clinical Associate Professor,College of Nursing,https://scholars.library.tamu.edu/vivo/display/nfbcd9310
Sara,Rowe,Lecturer,,Lecturer,Communication,https://scholars.library.tamu.edu/vivo/display/nf89b20b3
Charles,Rowell,Professor,My interests include African-American Literature.,Professor,English,https://scholars.library.tamu.edu/vivo/display/n84a7b578
Eric,Rowell,Professor,"My research focuses on Representation theory: quantum groups, braid groups, mapping class groups, motion groups; Topological quantum computation: algorithms, models for topological phases of matter; Categories with structure: fusion, braided and modular categories, fermionic modular categories; and Low-dimensional topology: link invariants, topological quantum field theory.",Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/nd07a7234
Kristen,Rowlett,Instructional Associate Professor,"It's my job to research, so no topic is off limits. I even research how people conduct research.",Instructional Associate Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n4f4fc800
Tapasree,Roy Sarkar,Research Assistant Professor,"Aberrant activation of the biological process, termed epithelial-mesenchymal transition (EMT) plays an important role<br /><br />in the acquisition of malignant phenotypes as well as cancer stem (CSC) properties by epithelial cancer cells. EMT facilitates the metastatic dissemination which is the major cause of cancer related mortality. The main focus of my work is to identify the molecular mechanisms that induce EMT and to develop novel therapeutic strategies for preventing and treating metastasis.",Research Assistant Professor,Biology,https://scholars.library.tamu.edu/vivo/display/nf08a1119
James,Rozier,Lecturer,,Lecturer,English,https://scholars.library.tamu.edu/vivo/display/n8c3fcae8
Leonard,Ruback,TTI Senior Research Scientist,,TTI Senior Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/nfcd0758c
Jackie,Rudd,Professor,"I am the project leader of the hard winter wheat breeding program for the High Plains and Rolling Plains of Texas. Responsibilities include management of the cultivar development project, graduate student training, and conducting research relevant to wheat genetic improvement. My current research interests are breeding for water use efficiency, introgression of forage and grain yield traits from synthetic hexaploid wheat, high throughput phenotyping for biomass production, marker assisted breeding for biotic and abiotic stress resistance, and enhanced bread-making quality.","Professor||Project Leader,  Wheat Breeding Program",Soil and Crop Sciences||Amarillo Research and Extension Center,https://scholars.library.tamu.edu/vivo/display/n48d095ec
Leeann,Rudd,Instructional Associate Professor,"Dr. Mysti Rudd has nearly 20 years of teaching experience at the college level, having taught at both two-year community colleges and four-year universities. Besides teaching her specialty of FYC (First-Year Composition), Rudd has taught Technical Writing & Communication, Advanced Composition, American Literature, Creative Writing, and Developmental Reading & Math. She has presented her work at 40+ academic conferences in the last ten years.",Instructional Associate Professor||Director of the Academic Success Collaborative,Texas A&M University at Qatar||Liberal Arts (Qatar),https://scholars.library.tamu.edu/vivo/display/ne105a032
Louisbruno,Ruest,Associate Professor,,Associate Professor,Biomedical Sciences,https://scholars.library.tamu.edu/vivo/display/n4ba9bf37
Annie,Ruimi,Associate Professor,,Associate Professor,Mechanical Engineering (Qatar),https://scholars.library.tamu.edu/vivo/display/n06f96653
Andrew,Rumbach,Associate Professor,,Associate Professor,Landscape Architecture and Urban Planning,https://scholars.library.tamu.edu/vivo/display/n469673f8
William,Rundell,Professor,,Professor,Mathematics,https://scholars.library.tamu.edu/vivo/display/ndc51a73f
Edward,Runge,Program Director,"Research on Forecasting Corn Yield in 11 Midwestern States from 2001 to 2006. Fund support from National Agricultural Statistics Service-USDA for 2002 and 2003. The reason we can use our models over such wide area is because they incorporate the soil factor - Plant Available Stored Soil Moisture. Also completing research on Amelioration of ""slick spots"" in Illinois as part of Study Leave.",Program Director,Soil and Crop Sciences,https://scholars.library.tamu.edu/vivo/display/n921286d0
Lynn,Ruoff,Clinical Associate Professor,Anatomy,Clinical Associate Professor,Veterinary Integrative Biosciences,https://scholars.library.tamu.edu/vivo/display/n3b4a8359
William,Rupley,Professor,"My research has focused on instructional development to increase teachers' effectiveness in teaching reading development, and reading comprehension in diverse disciplines including social studies, science, probabilistic thinking and climate forecasting. A primary interest is in the acquisition of reading foundational skills in preschool through 3rd grade as they relate to both print and language exposure prior to formal reading instruction.",Associate||Professor,"Teaching, Learning and Culture||Aggie STEM",https://scholars.library.tamu.edu/vivo/display/n9b62bb9d
Charles,Rush,Professor,"The TAES plant pathology program in Amarillo/Bushland, lead by Dr. Charlie Rush, was initiated in 1986 to conduct research on economically damaging diseases of crops produced in the Texas Panhandle. Currently the lab is composed of three post docs, three technicians, and several graduate students and student workers from West Texas A&M University. Major research projects, all funded by external competitive grants, include ecology and epidemiology of karnal bunt, remote sensing to differentiate between biotic and abiotic stresses, management of sorghum ergot, and genomic variability among Benyviruses. Although Dr. Rush has no official extension responsibilities, his lab has provided plant disease diagnostic services since the lab's inception, and recently they have established a satellite diagnostic laboratory to the Great Plains Regional Diagnostic Laboratory at Kansas State University, part of the Homeland Security Plant Disease Diagnostic Network. Dr. Rush's lab is the only USDA-APHIS approved Karnal Bunt Quarantine Research Lab in the Southern Great Plains, and as such, provides a phytosanitary seed certification service that allows Texas producers to sale seed wheat outside of the state.","Director, Plant Pathology Research Program||Professor",Amarillo Research and Extension Center||Plant Pathology and Microbiology,https://scholars.library.tamu.edu/vivo/display/n3e78975e
B. Don,Russell,Distinguished Professor,"My research interests include electric power engineering, power system protection, control and automation of power systems, power systems diagnostics and waveform analytics, forensic engineering, engineering ethics, and engineering professionalism.",Faculty Affiliate||Distinguished Professor,Energy Institute||Electrical and Computer Engineering,https://scholars.library.tamu.edu/vivo/display/nc3a5baa9
David,Russell,Professor,"My research focuses on proteomics, lipidomics, biophysical chemistry and application and development of mass spectrometry, such as ""label-free"" nano-particle based biosensors and novel peptide/protein isolation and purification strategies. We are also investigating the structure(s) of model peptides in an effort to better describe folding/unfolding and structure of membrane and intrinsically disordered (IDP) proteins. Peptides take on very different 2?, 3? and 4? structure, which determine or influence bio-activity. In the presence of lipid vesicles peptides can exist as solution-phase species, ""absorbed"" on lipid bilayers or ""inserted"" (as a monomer or multimer) in lipid bilayers. By what mechanism do peptides interact with lipid membranes to affect these structural changes, how do peptide-lipid interactions promote self-assembly to form intermediates that eventually yield aggregates, i.e., amyloid fibrils, or how does metal ion coordination affect the structure of metalloproteins? Mass spectrometry-based experiments, hydrogen/deuterium (H/D) exchange, chemical 'foot-printing' and gas-phase (ion-molecule and ion-ion reaction chemistry) and solution-phase chemical modifications, have expanded our abilities to address such questions, and new instrumental approaches, esp. ion mobility spectrometry (IMS) combined with enhanced molecular dynamics simulations (MDS), have become standard tools for structural-mass spectrometry studies. Over the past several years we have either acquired or developed novel, next-generation IM-MS instruments that are redefining cutting-edge structural-mass spectrometry research as well as cutting-edge computational tools essential to carry out these studies. Our new laboratories in the Interdisciplinary Life Sciences Building (ILSB) provides exciting opportunities for collaborative, interdisciplinary research with chemical-biologists, biochemists and other chemists.",Professor,Chemistry,https://scholars.library.tamu.edu/vivo/display/n280e03e6
Gül,Russell,Professor,"History of visual neuroscience & optics; neuroscience and art; history of anatomical illustrations;<br /><br /><br /><br />Cross cultural transmission of scientific ideas with specific emphasis on the Greek & Arabic sources of the Renaissance and the 17th century; Impact of forced migration in the 20th c. <br /><br /><br /><br />History of medicine, medical ethics and bioethics (eugenics).",Faculty Fellow||Professor||faculty,Center for Health Systems and Design||Texas A&M Institute for Neuroscience||Humanities in Medicine,https://scholars.library.tamu.edu/vivo/display/n5150f1e4
Karen,Russell,Professor and Associate Department Head,"Platelet pathophysiology and the interaction of platelets with infectious agents, with an emphasis on the thrombocytopenia associated with Equine Infectious Anemia Virus. Investigation of platelet activation markers in veterinary species. Investigation of total and free (ionized) magnesium concentrations in veterinary species.",Professor and Associate Department Head,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/n51e42f58
Lauren,Russell,Veterinary Resident,,Veterinary Resident,Large Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n168ff580
Richard,Russell,Lecturer,,Lecturer,Bush School of Government and Public Service,https://scholars.library.tamu.edu/vivo/display/nfaf585a8
Ivan,Rusyn,Professor,"My laboratory has an active research portfolio funded by the National Institutes of Health and the US EPA with a focus on the mechanisms of action of environmental toxicants and the genetic determinants of the susceptibility to toxicant-induced injury. Through a combination of in vivo animal studies and experiments that utilize cellular and molecular models, we aim to better understand why certain chemicals cause cancer or organ damage in rodents and whether humans in general, or any susceptible sub-population in particular, are at risk from similar exposures.<br /><br /><br /><br />The main focus of our inter-disciplinary research is on improving the linkages between exposures and adverse health effects Specifically, we develop innovative experimental methods and computational tools which enable analysis of data across multiple dimensions including SNPs, -omic endpoints, multiple chemicals and traditional toxicity phenotypes.",Faculty Fellow||Professor,Center for Health Systems and Design||Veterinary Integrative Biosciences,https://scholars.library.tamu.edu/vivo/display/nb3daa5ce
Rebecca,Rutherford,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n1ad74bcd
Joseph,Rutkowski,Assistant Professor,"Current ongoing projects are mostly focused on the Lymphatic Physiology of Metabolic Systems. Herein, we are utilizing an extensive toolkit of genetic mouse models and physiologically-relevant in vitro systems to identify how changes in lymphatic biology impact metabolite transport and whole animal metabolism.  Other projects use our toolkit in identifying factors driving the pathology of lymphatic diseases such as generalized lymphatic anomalies (GLA) and lymphedema. Additional collaborative efforts employ our models in renal and pulmonary health.",Assistant Professor,Medical Physiology,https://scholars.library.tamu.edu/vivo/display/nf1902e01
Christine,Rutter,Clinical Assistant Professor,,Clinical Assistant Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n5b91ffe1
Jon,Rutter,TTI Research Scientist,,TTI Research Scientist,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/nd9377d83
Leslie,Ruyle,Associate Research Scientist,"Dr. Ruyle's research program focuses on the intersection of conservation, natural resources, gender, and development, particularly focusing on conflict regions. She has created multiple high-impact student engagement activities, emphasizing experiential learning and multi-disciplinary approaches to problem solving. She works across departments, colleges, and universities to create interdisciplinary teams and brings together students, faculty, and local communities to solve problems. She has created opportunities to take students to DC, Nepal, the Democratic Republic of the Congo (DRC), Botswana, Honduras, and Peru.",Associate Research Scientist||Assistant Director,Scowcroft Institute of International Affairs||Bush School of Government and Public Service,https://scholars.library.tamu.edu/vivo/display/nf60ec157
James,Ryan,Professor,,Professor,Liberal Studies,https://scholars.library.tamu.edu/vivo/display/nc82c6e72
Kathryn,Ryan,Instructional Associate Professor,"1. Delineate the function of the Ran cycle in NPC assembly<br /><br />Model for NPC AssemblyRan is a small GTPase that cycles between a GTP and GDP bound form to regulate many nuclear processes. All 4 components of the Ran cycle were isolated in the npa screen. Characterization of these mutants revealed membrane defects and the accumulation of nucleoporin containing vesicles in the cytoplasm. The accumulation of such vesicles in these npa mutants suggests that NPC assembly involves a Ran-mediated vesicular fusion event at the outer nuclear envelope. In this model of NPC assembly, a subset of nucleoporins is first concentrated in vesicles (A). When the vesicles fuse with the outer nuclear membrane in a Ran-dependent manner (B), a critical, localized concentration of these nucleoporins triggers pore formation (C) and nucleates new NPC assembly (D and E). To test the model, work is being done to characterize these vesicles. This includes biochemical approaches to purify vesicles and cell biological and genetic approaches to determine how vesicle-associated proteins contribute to NPC assembly. In addition, we are working to understand how Ran interacts with these vesicles to mediate vesicle fusion to the outer nuclear membrane.<br /><br /><br /><br />2. Define additional steps in the NPC assembly pathway<br /><br />There are events both upstream and downstream of the Ran cycle in the assembly pathway. Further cloning and characterization of mutants from the npa collection will continue to identify factors involved in other steps of NPC biogenesis and provide a platform from which to study these discrete events.",Instructional Associate Professor,Biology,https://scholars.library.tamu.edu/vivo/display/n613870d1
Zofia,Rybkowski,Associate Professor,"Innovations in construction management: lean construction,lean game theory,target value design, life cycle cost analysis, environmentally sustainable architecture and construction, andline-of-balance scheduling to identifywaste and value inconstruction process flows, evidence-based design, Integrated Project Delivery",Associate Professor||Faculty Fellow,Center for Health Systems and Design||Construction Science,https://scholars.library.tamu.edu/vivo/display/n8d84eff7
Hays,Rye,Associate Professor,"A fundamental principle of biology is the use of chemical energy in the form of ATP to assemble, disassemble and alter macromolecular structure.  Specialized control proteins known as molecular chaperones are often responsible for this activity and have been recognized in recent years to be essential for regulating many aspects of cellular biology.  Using a variety of biophysical and biochemical techniques, the Rye lab focuses on three fundamental cellular processes that require molecular chaperones:  (1) protein folding (2) protein disaggregation and (3) vesicle trafficking.  In each of these cases, large quantities ATP are burned, resulting in molecular organization in the case of protein folding, and molecular disassembly and remodeling in the case of protein disaggregation and vesicle trafficking.  We are interested in understanding the detailed biophysical mechanisms that underpin these events.  Why are these processes so energetically expensive?  Are there any similarities in how the energy is used between these very different molecular processes?  Are there general principles of energy transduction in biology that can be gleaned by comparing these examples with other molecular machines, such as cytoskeletal motors?  Understanding how molecular chaperones control protein and membrane organization will provide key insights into not only basic cell biology, but will also illuminate aspects of many diseases that spring from aberrant protein and membrane dynamics.",Associate Professor,Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/ne7fb85e1
Boong,Ryoo,Associate Professor,,Associate Professor,Construction Science,https://scholars.library.tamu.edu/vivo/display/nb059c03c
Matthew,SORENSON,Professor and Assistant Dean,,Professor and Assistant Dean,College of Nursing,https://scholars.library.tamu.edu/vivo/display/n09260d17
Abelardo,Saavedra,Professor of the Practice,,Professor of the Practice,Educational Administration and Human Resource Development,https://scholars.library.tamu.edu/vivo/display/n4f76af48
Isaac,Sabat,Assistant Professor,,Assistant Professor,Psychological and Brain Sciences,https://scholars.library.tamu.edu/vivo/display/ne3ccd473
Mohamed,Saber,Lecturer,,Lecturer,Chemistry,https://scholars.library.tamu.edu/vivo/display/nf38d8f82
Tyler,Sabey,Assistant Professor,"The main objective of my research and teaching is to have a positive impact on society. Through<br /><br />my research, I aim discover and develop novel insights within the social hierarchy and prosocial<br /><br />behaviors literatures, with a particular interest in when and why power is used for good. Through<br /><br />my teaching, I seek to inspire students to become the types of leaders that use their power to<br /><br />create a positive impact on society. As a result, both through my research and teaching, I hope to<br /><br />influence rising generations to be better leaders.",Assistant Professor,Management,https://scholars.library.tamu.edu/vivo/display/n0986e258
Irvin,Sabrsula,Clinical Assistant Professor,,Clinical Assistant Professor,Primary Care Medicine,https://scholars.library.tamu.edu/vivo/display/n3bf65da8
James,Sacchettini,Professor,"My lab uses X-ray crystallography to better understand the relationship between proteins and ligands. Tiny differences in the structure of a molecule can radically change the interaction between a protein and ligand and we are only begining to understand how many factors play a role in this interaction. By manipulating the individual components of a compound it is possible to create a chemical that binds to the protein better than the natural substrate, and prevent the natural reaction from occurring. This is the basis for rational drug design. Our efforts have lead us to collaborations with other labs and scientists in many disciplines as our approach to directed compound design has applications not only in basic research but also in pesticide development, health research and clinical research.",Professor,Biochemistry and Biophysics,https://scholars.library.tamu.edu/vivo/display/n90385563
Manju,Sachdev,Clinical Assistant Professor,,Clinical Assistant Professor,Primary Care Medicine,https://scholars.library.tamu.edu/vivo/display/n9b5f26a4
Matthew,Sachs,Professor,"Understanding the mechanisms by which upstream open reading frames (uORFs) in mRNA transcripts control gene expression is currently the major focus of my laboratory. A substantial component of this work is focused on the uORF-encoded fungal arginine attenuator peptide (AAP). The major goal of this work is to understand the mechanism by which a nascent peptide encoded by this uORF controls the movement of ribosomes on mRNA and regulates gene expression. Control mechanisms mediated by uORFs and nascent peptides exist in mammals, fungi, plants, viruses, and bacteria, but relatively little is known of the molecular details of such control. The AAP is encoded by a uORF in the 5?-leader regions of mRNAs specifying the first enzyme in fungal arginine (Arg) biosynthesis. Synthesis of the AAP rapidly reduces gene expression in response to Arg. AAP-mediated regulation is observed in vivo in both Neurospora crassa and Saccharomyces cerevisiae and in vitro, using fungal, plant and animal extracts. The nascent AAP causes the ribosome to stall when the concentration of Arg is high.",Professor,Biology,https://scholars.library.tamu.edu/vivo/display/nfe74574c
Reza,Sadr,Associate Professor,"Dr. Sadr research interests include experimental techniques in thermo/fluid science with a focus on Advanced Energy Efficient Systems. He has active projects in nano/micro-fluids, droplets and sprays, alternative and bio fuels, atmospheric turbulence, and super critical fluid flows. <br /><br />Dr. Sadr's Ph.D. research was on the experimental investigation of turbulent particulated coaxial jets using Molecular Tagging Velocimetry (MTV). These flow fields are of interest due to their application in coal combustion process and greenhouse gas production. He later extended his MTV expertise to study flow field inside IC engines. Dr. Sadr continued his work at the Georgia Institute of Technology on experimental methods in micro-, nano-flows and electroosmotic fluid mechanics. Micro- nano-fluidic systems, such as Lab-On-a-Chip and ?TAS, are the emerging technologies that require new understanding of the fundamental sciences in this field. His work on nano particle movement in fluids is focused on the novel techniques in particulated flow at micro and nano scale where Brownian motion is a major factor. Dr. Sadr is pioneer in development and application of nanoPIV for near wall fluid flow measurement. <br /><br />Upon joining Texas A&M, Dr. Sadr focused his attention on the Advanced Energy Efficient Systems on several fronts at the Qatar campus. He continued his work on micro/nano fluidics for bio applications and Brownian motion. Furthermore, he initiated an active research on thermo-hydraulics of super critical CO2 flows and potentials of CO2-hydrocarbon based refrigerants, with a recent support funded by Shell. He has also successfully worked with Rolls-Royce, German Aerospace Institute (DLR), and Shell Inc. for spray and combustion characterization of Gas-to-Liquid (GTL) Fuel. He is continuing his work in studying Atmospheric Surface Layer (ASL) in Qatar to characterize pollution dispersion and potential wind energy applications in this region. Dr. Sadr is a member of ASME and APS.",Associated professor||Faculty Affiliate||Associate Professor,The Texas A&M University System||Mechanical Engineering (Qatar)||Energy Institute,https://scholars.library.tamu.edu/vivo/display/nffb2ee21
